Test,Epoch,Time

VGG16
T2,25,2513.100907087326
T2,50,4906.849631071091
T2,75,7288.788440942764
T2,100,9661.090708494186
T2,150,14386.139406442642
T2,200,19010.33540892601,2467.8
T2B,25,3154.4375171661377
T2B,200,6052.125761270523

ResNet18
T1,25,4852.636528968811
T1,50,9471.919149398804
T1,75,14036.998420715332
T1,100,18555.18124628067
T1,150,27509.891773223877
T1,200,36271.41298055649,2041.5
T1B,25,5038.260734319687
T1B,200,9615.75197815895

2Models
T3,25,7270.065197229385
T3,50,14191.272052288055
T3,75,21041.784788370132
T3,100,27838.485256433487
T3,150,41377.26346921921
T3,200,54636.443316459656

T4,25,20644.831975460052
T4,50,40166.59803700447
T4,25,20627.98402571678
T4,200,39447.36197447777


T6,25,3939.2006204128265
T6,200,7554.839347362518

T5,25,17222.476157426834
T5,200,32970.06950521469

6Models
T7,25,36988.07715320587
T8,25,2392.700417995453
T8,50,4683.772530555725
T8,75,6974.851455211639
T8,100,9174.177392244339

T7,50,72175.41227293015
T9,25,27423.31554722786
T9,50,53686.962520599365

T7,75,107299.19071626663
T9,75,79918.50218439102

T7,100,140915.05658221245
T5C,25,3966.0519654750824
T5C,50,7755.416900396347

T9,100,105040.6559894085
T5C,75,11539.963011264801
T5C,100,15171.530485630035
T4C,25,20614.80185317993
T4C,50,40150.962421655655
T4C,75,59667.58812189102
T4C,100,78384.43327474594
T6C,25,17066.837354421616
T6C,50,33408.94498848915
T6C,75,49735.01609992981
T6C,100,65342.02074480057
TDoubleA,2,674.3016707897186
TDoubleA,25,8408.627612352371
TDoubleA,50,16401.22723889351
TDoubleA,75,24383.269163131714
TDoubleA,2,32062.769520044327
TVGGC5,25,1981.8469262123108
TVGGC5,50,3879.459528207779
TVGGC5,75,5770.835730314255
TVGGC5,2,7584.106205701828

8Models,25,58473.63363456726
8Models,50,114182.81200504303
8Models,75,169573.6575946808
8Models,2,222535.71542739868
vgg11,25,1823.086947441101
vgg11,50,3567.8133506774902
vgg11,75,5310.555842638016
vgg11,2,6982.615801334381
resnet152,25,38488.08520317078
resnet152,50,75289.14048218727
resnet152,75,112030.07462739944
resnet152,2,147143.85366415977

vgg16,25,3160.2864389419556
resnet18,25,5030.38152217865
vgg16,50,6184.872555017471
vgg16-resnet18,25,8182.866696357727
vgg16,75,9208.857885360718
resnet18,50,9767.502331495285
vgg16,2,12111.96367263794
resnet18,75,14497.370331287384
vgg16-resnet18,50,15936.671595096588
resnet18,2,19032.228232860565
vgg16-resnet18,75,23680.839919805527
vgg16-resnet18,2,31115.268335342407
vgg11-vgg13,25,4176.068105697632
vgg11-vgg13,50,8165.949368715286
vgg11-vgg13,75,12155.153380393982
resnet50-vgg19,25,12429.463284492493
vgg11-vgg13,2,15984.453378200531
resnet50-vgg19,50,24255.697298288345
resnet50-vgg19,75,36067.20868706703
resnet50-vgg19,2,47378.54676795006

resnet18-vgg13,25,7392.998042821884
resnet18-vgg13,50,14403.760380744934
resnet18-vgg13,75,21408.812132120132
resnet18-vgg13,2,28125.69313645363
resnet101-152,25,33986.46134543419
resnet101-152,50,66467.42306900024
resnet101-152,75,98803.8450717926
resnet101-152,2,129650.43005633354
fourSmall,25,12485.254016160965
fourSmall,50,24355.10938501358
fourSmall,75,36220.45764732361
fourBig,25,46280.47262096405
fourSmall,2,47606.658442020416
fourBig,50,90245.99469828606
fourBig,75,134041.70914578438
fourBig,2,175907.00987410545
tenSmall,25,27283.604048013687
